text,label
야 이 개새끼야,1
씨발놈아,1
꺼져 미친놈아,1
존나 짜증나,1
죽어버려,1
개같은 놈,1
씹새끼,1
미친년,1
좆같네,1
멍청한 새끼,1
개쌍놈,1
병신같은 놈,1
저주받을 놈,1
돌았냐,1
미친놈,1
닥쳐라,1
지랄하지마,1
꺼져라,1
헛소리 하지마,1
입 닥쳐,1
내가 널 찢어버린다,1
더러운 놈,1
꼴값 떨지마,1
눈깔 똑바로 떠,1
등신,1
한심한 놈,1
좆밥,1
이딴게 뭐야,1
X같네,1
꺼지라고,1
개같이 굴지마,1
그 입 다물어,1
니 얼굴이 범죄야,1
뇌가 있긴 하냐,1
좆도 모르면서,1
정신 나갔냐,1
이런 개쓰레기,1
존재가 죄야,1
제정신이냐,1
바보냐,1
개돼지 같은 놈,1
쌍놈의 자식,1
그지같네,1
모지리,1
개똥같은 소리,1
재수없어,1
개소리하지마,1
멍청이,1
지능이 부족해 보이네,1
정신차려 병신아,1
18년,1
18놈,1
18새끼,1
ㄱㅐㅅㅐㄲl,1
ㄱㅐㅈㅏ,1
가슴만져,1
가슴빨아,1
가슴빨어,1
가슴조물락,1
가슴주물럭,1
가슴쪼물딱,1
가슴쪼물락,1
가슴핧아,1
가슴핧어,1
강간,1
개가튼년,1
개가튼뇬,1
개같은년,1
개걸레,1
개고치,1
개너미,1
개넘,1
개년,1
개놈,1
개늠,1
개똥,1
개떵,1
개떡,1
개라슥,1
개보지,1
개부달,1
개부랄,1
개불랄,1
개붕알,1
개새,1
개세,1
개쓰래기,1
개쓰레기,1
개씁년,1
개씁블,1
개씁자지,1
개씨발,1
개씨블,1
개자식,1
개자지,1
개잡년,1
개젓가튼넘,1
개좆,1
개지랄,1
개후라년,1
개후라들놈,1
개후라새끼,1
걔잡년,1
거시기,1
걸래년,1
걸레같은년,1
걸레년,1
걸레핀년,1
게부럴,1
게세끼,1
게이,1
게새끼,1
게늠,1
게자식,1
게지랄놈,1
고환,1
귀두,1
깨쌔끼,1
난자마셔,1
난자먹어,1
난자핧아,1
내꺼빨아,1
내꺼핧아,1
내버지,1
내자지,1
내잠지,1
내조지,1
너거애비,1
노옴,1
누나강간,1
니기미,1
니뿡,1
니뽕,1
니씨브랄,1
니아범,1
니아비,1
니애미,1
니애뷔,1
니애비,1
니할애비,1
닝기미,1
닌기미,1
니미,1
닳은년,1
덜은새끼,1
돈새끼,1
돌으년,1
돌은넘,1
돌은새끼,1
동생강간,1
동성애자,1
딸딸이,1
똥구녁,1
똥꾸뇽,1
똥구뇽,1
띠발뇬,1
띠팔,1
띠펄,1
띠풀,1
띠벌,1
띠벨,1
띠빌,1
마스터,1
막간년,1
막대쑤셔줘,1
막대핧아줘,1
맛간년,1
맛없는년,1
맛이간년,1
멜리스,1
미친구녕,1
미친구멍,1
미친넘,1
미친년,1
미친놈,1
미친눔,1
미친새끼,1
미친쇄리,1
미친쇠리,1
미친쉐이,1
미친씨부랄,1
미튄,1
미티넘,1
미틴,1
미틴넘,1
미틴년,1
미틴놈,1
미틴것,1
백보지,1
버따리자지,1
버지구녕,1
버지구멍,1
버지냄새,1
버지따먹기,1
버지뚫어,1
버지뜨더,1
버지물마셔,1
버지벌려,1
버지벌료,1
버지빨아,1
버지빨어,1
버지썰어,1
버지쑤셔,1
버지털,1
버지핧아,1
버짓물,1
버짓물마셔,1
벌창같은년,1
벵신,1
병닥,1
병딱,1
병신,1
보쥐,1
보지,1
보지핧어,1
보짓물,1
보짓물마셔,1
봉알,1
부랄,1
불알,1
붕알,1
붜지,1
뷩딱,1
븅쉰,1
븅신,1
빙띤,1
빙신,1
빠가십새,1
빠가씹새,1
빠구리,1
빠굴이,1
뻑큐,1
뽕알,1
뽀지,1
뼝신,1
사까시,1
상년,1
새꺄,1
새뀌,1
새끼,1
색갸,1
색끼,1
색스,1
색키,1
샤발,1
써글,1
써글년,1
성교,1
성폭행,1
세꺄,1
세끼,1
섹스,1
섹스하자,1
섹스해,1
섹쓰,1
섹히,1
수셔,1
쑤셔,1
쉐끼,1
쉑갸,1
쉑쓰,1
쉬발,1
쉬방,1
쉬밸년,1
쉬벌,1
쉬불,1
쉬붕,1
쉬빨,1
쉬이발,1
쉬이방,1
쉬이벌,1
쉬이불,1
쉬이붕,1
쉬이빨,1
쉬이팔,1
쉬이펄,1
쉬이풀,1
쉬팔,1
쉬펄,1
쉬풀,1
쉽쌔,1
시댕이,1
시발,1
시발년,1
시발놈,1
시발새끼,1
시방새,1
시밸,1
시벌,1
시불,1
